Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron
4.0,C,C,MySQL,MySQL,Linux,Linux,jQuery,React.js,Eclipse
9.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,PostgreSQL,AWS,AWS,Express,Express,Vim
13.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,Firebase,Android,Android,Angular/Angular.js,Express,Vim
16.0,Bash/Shell/PowerShell,C#,MongoDB,Elasticsearch,Linux,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio
17.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Elasticsearch,Arduino,Docker,Angular/Angular.js,Angular/Angular.js,IntelliJ
19.0,C#,HTML/CSS,DynamoDB,DynamoDB,Android,AWS,Angular/Angular.js,Express,Vim
20.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
22.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Sublime Text
23.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,Couchbase,Docker,Docker,React.js,Express,Visual Studio Code
24.0,HTML/CSS,Go,Firebase,PostgreSQL,AWS,Android,Express,Vue.js,Visual Studio Code
25.0,HTML/CSS,HTML/CSS,MySQL,MySQL,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
26.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
29.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,PostgreSQL,Linux,Docker,Express,Angular/Angular.js,Visual Studio Code
32.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,PostgreSQL,Linux,Linux,Express,Express,Atom
38.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,ASP.NET,ASP.NET,Notepad++
39.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
43.0,C++,C#,Firebase,Firebase,Android,Android,ASP.NET,ASP.NET,Android Studio
44.0,Bash/Shell/PowerShell,C#,Oracle,Other(s):,Linux,Docker,Spring,Spring,IntelliJ
49.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
50.0,Bash/Shell/PowerShell,HTML/CSS,Elasticsearch,Firebase,Arduino,AWS,Django,Express,Notepad++
53.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
54.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,DynamoDB,Docker,AWS,Django,Django,IntelliJ
56.0,Bash/Shell/PowerShell,Java,MySQL,Cassandra,Heroku,AWS,Spring,Angular/Angular.js,IntelliJ
57.0,JavaScript,Elixir,Firebase,DynamoDB,Linux,AWS,React.js,React.js,Notepad++
60.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,AWS,AWS,Flask,Laravel,PHPStorm
61.0,C++,Go,Firebase,PostgreSQL,Android,Arduino,ASP.NET,Laravel,Android Studio
62.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Android,Android,Django,ASP.NET,Atom
67.0,C,C#,DynamoDB,Elasticsearch,AWS,Raspberry Pi,Angular/Angular.js,React.js,IntelliJ
68.0,HTML/CSS,Elixir,Elasticsearch,DynamoDB,AWS,Arduino,Express,Express,Vim
70.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,ASP.NET,Angular/Angular.js,Notepad++
71.0,HTML/CSS,C#,MariaDB,DynamoDB,Android,Android,Laravel,Angular/Angular.js,Visual Studio Code
74.0,HTML/CSS,Java,DynamoDB,DynamoDB,AWS,AWS,Flask,Flask,Atom
75.0,HTML/CSS,HTML/CSS,MongoDB,Elasticsearch,Heroku,AWS,Express,Express,Sublime Text
76.0,PHP,Python,MariaDB,PostgreSQL,AWS,Linux,Other(s):,Other(s):,Notepad++
78.0,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Android,Android,Express,Express,Android Studio
80.0,Bash/Shell/PowerShell,F#,MongoDB,Couchbase,Docker,Docker,Angular/Angular.js,ASP.NET,IntelliJ
83.0,HTML/CSS,Elixir,DynamoDB,Cassandra,AWS,AWS,Express,Express,Sublime Text
84.0,C,C#,Firebase,Firebase,Android,Android,ASP.NET,React.js,Android Studio
86.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Elasticsearch,Linux,Docker,Django,Django,Coda
87.0,Bash/Shell/PowerShell,Go,Microsoft SQL Server,PostgreSQL,Android,AWS,Django,Django,Android Studio
90.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,Android,Android,React.js,React.js,Android Studio
92.0,HTML/CSS,HTML/CSS,PostgreSQL,PostgreSQL,Linux,Linux,Other(s):,Spring,IntelliJ
94.0,C#,Assembly,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Android,ASP.NET,ASP.NET,Notepad++
95.0,C#,C#,Microsoft SQL Server,Redis,AWS,AWS,Angular/Angular.js,React.js,Notepad++
97.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Other(s):,Other(s):,Linux,Linux,Flask,Flask,Atom
100.0,HTML/CSS,C,PostgreSQL,PostgreSQL,AWS,AWS,Express,Express,Vim
102.0,C#,C,Microsoft SQL Server,MongoDB,Microsoft Azure,AWS,ASP.NET,Angular/Angular.js,Notepad++
104.0,C#,TypeScript,Microsoft SQL Server,Couchbase,Windows,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
109.0,C#,C#,MongoDB,Elasticsearch,AWS,AWS,ASP.NET,ASP.NET,Notepad++
110.0,Python,Python,Cassandra,Cassandra,Linux,Android,jQuery,Flask,IPython / Jupyter
111.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Arduino,Android,ASP.NET,Angular/Angular.js,Visual Studio
114.0,Bash/Shell/PowerShell,JavaScript,MySQL,MongoDB,Docker,AWS,Laravel,Django,PHPStorm
115.0,Assembly,HTML/CSS,Firebase,Firebase,Android,Android,ASP.NET,Express,Android Studio
116.0,Scala,Scala,Elasticsearch,Elasticsearch,AWS,AWS,Other(s):,Other(s):,Emacs
117.0,C#,C#,Microsoft SQL Server,PostgreSQL,Slack,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
118.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,SQLite,SQLite,Docker,Docker,jQuery,React.js,Eclipse
119.0,C,C,Firebase,Firebase,Android,Android,ASP.NET,Angular/Angular.js,Android Studio
120.0,Elixir,Elixir,MongoDB,PostgreSQL,AWS,AWS,Flask,Flask,Vim
124.0,HTML/CSS,Java,MySQL,MySQL,AWS,AWS,Spring,Spring,Eclipse
126.0,C#,Rust,Microsoft SQL Server,Microsoft SQL Server,Linux,AWS,ASP.NET,React.js,Visual Studio
128.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,PostgreSQL,AWS,AWS,Ruby on Rails,Ruby on Rails,Atom
129.0,C++,C++,MySQL,Couchbase,Linux,AWS,jQuery,Django,Atom
130.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,AWS,AWS,Django,Django,Emacs
135.0,Go,HTML/CSS,Couchbase,PostgreSQL,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
139.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Linux,Linux,ASP.NET,Angular/Angular.js,Notepad++
140.0,Java,Dart,Firebase,Couchbase,Android,Android,jQuery,Angular/Angular.js,Android Studio
144.0,Java,HTML/CSS,Oracle,Oracle,Windows,Docker,Spring,Spring,NetBeans
147.0,HTML/CSS,Kotlin,MySQL,MongoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
148.0,HTML/CSS,HTML/CSS,MySQL,PostgreSQL,Linux,Linux,Express,React.js,Visual Studio Code
151.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,React.js,Android Studio
155.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,AWS,AWS,Express,React.js,Visual Studio Code
157.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,AWS,AWS,ASP.NET,ASP.NET,Notepad++
158.0,Java,Java,Oracle,Cassandra,Linux,Linux,Other(s):,Drupal,Eclipse
159.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,Elasticsearch,Docker,Android,Django,Django,IPython / Jupyter
163.0,C#,Assembly,Microsoft SQL Server,Microsoft SQL Server,Linux,Android,ASP.NET,ASP.NET,Visual Studio
164.0,C#,C#,Microsoft SQL Server,MongoDB,Raspberry Pi,Android,ASP.NET,ASP.NET,Notepad++
166.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,PostgreSQL,AWS,AWS,jQuery,React.js,Vim
173.0,HTML/CSS,JavaScript,Elasticsearch,Elasticsearch,AWS,AWS,Angular/Angular.js,Angular/Angular.js,PHPStorm
174.0,Bash/Shell/PowerShell,C,Firebase,Microsoft SQL Server,Android,Android,Angular/Angular.js,Django,Android Studio
176.0,C,C++,MongoDB,MongoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Atom
177.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,PyCharm
179.0,HTML/CSS,C#,Firebase,Couchbase,Android,Android,React.js,React.js,Android Studio
181.0,HTML/CSS,HTML/CSS,MySQL,PostgreSQL,iOS,AWS,Angular/Angular.js,Express,IntelliJ
183.0,Dart,Dart,Firebase,Other(s):,Android,Android,jQuery,React.js,Android Studio
184.0,Bash/Shell/PowerShell,C,SQLite,Elasticsearch,Android,Linux,Other(s):,React.js,Android Studio
188.0,C#,C++,Microsoft SQL Server,MongoDB,Windows,Linux,ASP.NET,ASP.NET,PyCharm
189.0,C++,Go,MySQL,Cassandra,AWS,AWS,jQuery,Flask,IPython / Jupyter
190.0,Java,HTML/CSS,Elasticsearch,Cassandra,AWS,AWS,Angular/Angular.js,Django,Atom
191.0,C#,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,AWS,Linux,Angular/Angular.js,Angular/Angular.js,Vim
192.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Django,Django,Vim
194.0,Assembly,Bash/Shell/PowerShell,MySQL,PostgreSQL,Arduino,Linux,jQuery,React.js,IntelliJ
196.0,C#,F#,Microsoft SQL Server,Elasticsearch,Windows,AWS,ASP.NET,React.js,Notepad++
